WigleWifi-1.4,appRelease=2.25,model=SM-A520F,release=6.0.1,device=a5y17lte,display=MMB29K.A520FXXU1AQF3,board=universal7880,brand=samsung,,,,,,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,,,,,
ec:8c:a2:08:94:1c,Ariel_University,[ESS][BLE],2017-10-29 10:59:51,40,-87,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
1c:b9:c4:12:7c:c8,Ariel_University,[ESS][BLE],2017-10-29 10:59:51,11,-46,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
1c:b9:c4:12:7c:cc,Ariel_University,[ESS][BLE],2017-10-29 10:59:51,36,-58,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 10:59:51,4,-74,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-10-29 10:59:51,1,-67,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
ec:8c:a2:08:94:18,Ariel_University,[ESS][BLE],2017-10-29 10:59:51,1,-77,32.10552399,35.21214531,90.30000305,82,WIFI,,,,,
42501_7213_5475842,Partner,UNKNOWN;il,2017-10-29 10:59:51,0,-95,32.10552399,35.21214531,90.30000305,82,GSM,,,,,
1c:b9:c4:92:7c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-29 10:59:55,36,-59,32.10556443,35.21237832,108.9000015,73,WIFI,,,,,
00:25:86:cb:fd:f8,,[ESS],2017-10-29 10:59:55,9,-85,32.10556443,35.21237832,108.9000015,73,WIFI,,,,,
ec:8c:a2:88:94:17,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-29 11:00:08,40,-83,32.10551925,35.21240758,111.5999985,67.5,WIFI,,,,,
ec:8c:a2:08:94:18,Ariel_University,[ESS][BLE],2017-10-29 11:00:12,1,-68,32.10541486,35.21230104,129.8999939,61.5,WIFI,,,,,
8c:0c:90:ad:75:e3,,[WPA2-PSK-CCMP][ESS],2017-10-29 11:00:16,1,-72,32.10525363,35.21207859,164.8999939,66,WIFI,,,,,
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 11:58:53,4,-81,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
1c:b9:c4:12:7c:c8,Ariel_University,[ESS][BLE],2017-10-29 11:58:53,11,-52,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
8c:0c:90:2d:75:e8,Ariel_University,[ESS],2017-10-29 11:58:53,1,-70,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
1c:b9:c4:12:7c:cc,Ariel_University,[ESS][BLE],2017-10-29 11:58:53,36,-66,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
ec:8c:a2:08:94:1c,Ariel_University,[ESS][BLE],2017-10-29 11:58:53,40,-87,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
8c:0c:90:ad:75:e3,,[WPA2-PSK-CCMP][ESS],2017-10-29 11:58:53,1,-71,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
fc:c2:de:ae:1f:3a,,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],2017-10-29 11:58:53,6,-54,32.10315602,35.20852374,706.7000122,34,WIFI,,,,,
42501_7213_5475842,Partner,UNKNOWN;il,2017-10-29 11:58:53,0,-101,32.10315602,35.20852374,706.7000122,34,GSM,,,,,
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-29 11:59:09,4,-69,32.10317379,35.20854142,719.7999878,37.5,WIFI,,,,,
fc:c2:de:ae:1f:3a,,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],2017-10-29 11:59:09,6,-46,32.10317379,35.20854142,719.7999878,37.5,WIFI,,,,,
ec:8c:a2:08:94:18,Ariel_University,[ESS][BLE],2017-10-29 11:59:09,1,-80,32.10317379,35.20854142,719.7999878,37.5,WIFI,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,11,-71,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:86:48,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,6,-66,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-10-30 10:31:33,1,-87,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:86:4c,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,44,-77,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:8c:cc,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,52,-85,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:f2:b8,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,11,-86,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
ec:8c:a2:09:93:b8,Ariel_University,[ESS][BLE],2017-10-30 10:31:33,6,-86,32.10293566,35.20729747,663.9000244,73,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 10:31:33,0,-111,32.10293566,35.20729747,663.9000244,73,GSM,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:31:41,11,-67,32.10395322,35.20756418,673.5999756,78,WIFI,,,,,
ec:8c:a2:09:86:48,Ariel_University,[ESS][BLE],2017-10-30 10:31:41,6,-70,32.10395322,35.20756418,673.5999756,78,WIFI,,,,,
