WigleWifi-1.4,appRelease=2.25,model=SM-A520F,release=6.0.1,device=a5y17lte,display=MMB29K.A520FXXU1AQF3,board=universal7880,brand=samsung,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
7c:b7:33:2e:76:73,Mouly,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],27/10/2017 16:34,11,-78,32.16755862,34.8099448,61.70000076,5.5,WIFI
0a:8d:db:6e:71:6d,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:34,1,-84,32.16755862,34.8099448,61.70000076,5.5,WIFI
0a:8d:db:6e:71:bf,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:34,1,-84,32.16755862,34.8099448,61.70000076,5.5,WIFI
78:e8:b6:69:2a:e9,smartsell,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],27/10/2017 16:34,11,-87,32.16755862,34.8099448,61.70000076,5.5,WIFI
06:8d:db:6e:71:6d,,[ESS],27/10/2017 16:34,1,-86,32.16755862,34.8099448,61.70000076,5.5,WIFI
_6601_3021435,,UNKNOWN;il,27/10/2017 16:34,0,-113,32.16755862,34.8099448,61.70000076,5.5,GSM
02:8d:db:6e:71:6d,,[ESS],27/10/2017 16:34,1,-90,32.16755862,34.8099448,61.70000076,5.5,WIFI
0a:8d:cb:6e:71:6d,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:34,44,-84,32.16755862,34.8099448,61.70000076,5,WIFI
0a:8d:db:6e:71:be,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:34,11,-93,32.16755862,34.8099448,61.70000076,5,WIFI
aa:6b:ad:04:c6:a8,DIRECT-a8-HP M477 LaserJet,[WPA2-PSK-CCMP][ESS][P2P],27/10/2017 16:34,6,-91,32.16755862,34.8099448,61.70000076,5,WIFI
06:8d:db:6e:71:be,,[ESS],27/10/2017 16:35,11,-92,32.16755862,34.8099448,61.70000076,4.5,WIFI
0a:8d:db:6e:71:be,888Corp,[WPA2-EAP-CCMP][ESS],27/10/2017 16:35,11,-82,32.16755862,34.8099448,61.70000076,4,WIFI
aa:6b:ad:04:c6:a8,DIRECT-a8-HP M477 LaserJet,[WPA2-PSK-CCMP][ESS][P2P],27/10/2017 16:35,6,-85,32.16755862,34.8099448,61.70000076,4,WIFI
06:8d:db:6e:71:be,,[ESS],27/10/2017 16:35,11,-80,32.16755862,34.8099448,61.70000076,4,WIFI
00:78:9e:fa:15:91,MOULY MAISON,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],27/10/2017 16:35,1,-81,32.16755862,34.8099448,61.70000076,4,WIFI
